Heading,Type
land-use,2
irrigated-land,1
total-renewable-water-resources,1
freshwater-withdrawal-domestic/industrial/agricultural,2
population,1
dependency-ratios,2
median-age,2
population-growth-rate,1
birth-rate,1
death-rate,1
net-migration-rate,1
urbanization,3
sex-ratio,2
mother's-mean-age-at-first-birth,1
maternal-mortality-rate,1
infant-mortality-rate,2
life-expectancy-at-birth,2
total-fertility-rate,1
health-expenditures,1
physicians-density,1
hospital-bed-density,1
hiv/aids-adult-prevalence-rate,1
hiv/aids-people-living-with-hiv/aids,1
hiv/aids-deaths,1
obesity-adult-prevalence-rate,1
children-under-the-age-of-5-years-underweight,1
education-expenditures,1
literacy,2
school-life-expectancy-primary-to-tertiary-education,2
unemployment-youth-ages-15-24,2
gdp-purchasing-power-parity,1
gdp-official-exchange-rate,1
gdp-real-growth-rate,1
gdp-per-capita-ppp,1
gross-national-saving,1
gdp-composition-by-end-use,2
gdp-composition-by-sector-of-origin,2
industrial-production-growth-rate,1
labor-force,4
labor-force-by-occupation,2
unemployment-rate,1
population-below-poverty-line,1
distribution-of-family-income-gini-index,1
budget,2
taxes-and-other-revenues,4
budget-surplus-+-or-deficit--,1
public-debt,1
inflation-rate-consumer-prices,1
central-bank-discount-rate,1
commercial-bank-prime-lending-rate,1
stock-of-narrow-money,1
stock-of-broad-money,1
stock-of-domestic-credit,1
market-value-of-publicly-traded-shares,1
current-account-balance,1
exports,1
imports,1
reserves-of-foreign-exchange-and-gold,1
debt-external,1
stock-of-direct-foreign-investment-at-home,1
stock-of-direct-foreign-investment-abroad,1
electricity-production,1
electricity-consumption,1
electricity-exports,1
electricity-imports,1
electricity-installed-generating-capacity,1
electricity-from-fossil-fuels,1
electricity-from-nuclear-fuels,1
electricity-from-hydroelectric-plants,1
electricity-from-other-renewable-sources,1
crude-oil-production,1
crude-oil-exports,1
crude-oil-imports,1
crude-oil-proved-reserves,1
refined-petroleum-products-production,1
refined-petroleum-products-consumption,1
refined-petroleum-products-exports,1
refined-petroleum-products-imports,1
natural-gas-production,1
natural-gas-consumption,1
natural-gas-exports,1
natural-gas-imports,1
natural-gas-proved-reserves,1
carbon-dioxide-emissions-from-consumption-of-energy,1
telephones-main-lines-in-use,1
telephones-mobile-cellular,1
internet-hosts,1
internet-users,1
airports,1
airports-with-paved-runways,2
airports-with-unpaved-runways,2
heliports,1
railways,2
roadways,2
manpower-available-for-military-service,2
manpower-fit-for-military-service,2
manpower-reaching-militarily-significant-age-annually,2
military-expenditures,1
